interval_start,interval_minutes,forecast_calls,aht_seconds,scheduled_staff,shrinkage_rate
08:00,30,42,360,10,0.3
08:30,30,55,360,11,0.3
09:00,30,71,360,12,0.3
09:30,30,86,360,13,0.3
10:00,30,93,360,13,0.3
10:30,30,88,360,12,0.3
11:00,30,74,360,12,0.3
11:30,30,62,360,12,0.3
12:00,30,58,360,13,0.3
12:30,30,66,360,14,0.3
13:00,30,81,360,14,0.3
13:30,30,92,360,14,0.3
14:00,30,97,360,13,0.3
14:30,30,90,360,12,0.3
15:00,30,76,360,11,0.3
15:30,30,60,360,10,0.3
16:00,30,48,360,10,0.3
16:30,30,39,360,10,0.3
